name,iso3c,year,pop,growth_rate,tfr,sex_ratio,e0,imr,net
Brunei,BRN,1950,48297,5.959,6.977,107,50.565,128.595,1.375
Brunei,BRN,1951,51190,5.682,7.028,107,51.538,121.147,1.239
Brunei,BRN,1952,54233,5.862,7.1,106.9,52.439,114.095,1.369
Brunei,BRN,1953,57559,6.036,7.2,106.9,53.322,107.307,1.51
Brunei,BRN,1954,61209,6.256,7.308,106.9,54.169,100.803,1.693
Brunei,BRN,1955,65209.99999999999,6.405,7.397,106.8,54.978,94.585,1.84
Brunei,BRN,1956,69548,6.473,7.448,106.7,55.74,88.66,1.972
Brunei,BRN,1957,74164,6.383,7.476,106.6,56.51,83.022,2.029
Brunei,BRN,1958,78972,6.188,7.475,106.4,57.265,77.671,1.976
Brunei,BRN,1959,83842,5.791,7.421,106.4,58.02,72.573,1.809
Brunei,BRN,1960,88347,4.704,7.322,106.5,58.721,67.856,0.982
Brunei,BRN,1961,92517,4.526,7.185,106.6,59.387,63.542,1.014
Brunei,BRN,1962,96719,4.36,7.03,106.6,58.824,59.63,1.088
Brunei,BRN,1963,101159,4.612,6.893,106.7,60.625,56.088,1.469
Brunei,BRN,1964,105922,4.589,6.773,106.8,61.267,52.854,1.595
Brunei,BRN,1965,110838,4.487,6.647,106.8,61.721,50.092,1.655
Brunei,BRN,1966,115874,4.401,6.514,106.7,62.401,47.308,1.697
Brunei,BRN,1967,121017,4.287,6.372,106.6,62.909,44.876,1.703
Brunei,BRN,1968,126222,4.139,6.204,106.6,63.47,42.615,1.677
Brunei,BRN,1969,131446,3.974,6.008,106.7,63.963,40.5,1.608
Brunei,BRN,1970,135138,1.601,5.801,106.7,64.49,38.412,-1.538
Brunei,BRN,1971,137921,2.467,5.619,106.8,64.975,36.317,-0.476
Brunei,BRN,1972,142189,3.611,5.5,106.9,65.447,34.186,1.053
Brunei,BRN,1973,147369,3.547,5.355,106.9,65.95,32.02,1.007
Brunei,BRN,1974,152656,3.502,5.183,106.9,66.442,29.817,1.011
Brunei,BRN,1975,158070,3.468,4.99,106.9,66.95,27.632,1.047
Brunei,BRN,1976,163607,3.418,4.784,106.9,67.411,25.501,1.08
Brunei,BRN,1977,169277,3.397,4.58,106.9,67.833,23.461,1.157
Brunei,BRN,1978,174884,3.125,4.389,106.9,68.258,21.545,0.791
Brunei,BRN,1979,180422,3.111,4.216,106.9,68.642,19.779,0.899
Brunei,BRN,1980,186111,3.098,4.067,107,69.014,18.186,0.995
Brunei,BRN,1981,191977,3.108,3.943,106.9,69.344,16.773,1.124
Brunei,BRN,1982,198165,3.234,3.841,106.9,69.669,15.543,1.475
Brunei,BRN,1983,204741,3.294,3.751,106.9,69.991,14.496,1.602
Brunei,BRN,1984,211661,3.352,3.68,106.8,70.236,13.621,1.722
Brunei,BRN,1985,218919,3.391,3.612,106.9,70.499,12.908,1.808
Brunei,BRN,1986,226495,3.412,3.549,107.1,70.762,12.342,1.897
Brunei,BRN,1987,233860,2.994,3.491,107.2,70.982,11.905,0.994
Brunei,BRN,1988,240913,2.949,3.435,107.3,71.183,11.574,0.962
Brunei,BRN,1989,248064,2.902,3.364,107.2,71.408,11.326,1.002
Brunei,BRN,1990,255292,2.844,3.29,107.2,71.629,11.134,0.992
Brunei,BRN,1991,262596,2.799,3.206,107.2,71.858,10.967,1.087
Brunei,BRN,1992,269839,2.645,3.111,107.1,72.09,10.804,0.969
Brunei,BRN,1993,276971,2.573,3.007,107.2,72.333,10.626,1.082
Brunei,BRN,1994,284091,2.504,2.901,107.2,72.571,10.418,1.206
Brunei,BRN,1995,291195,2.437,2.787,107.2,72.838,10.178,1.348
Brunei,BRN,1996,298276,2.369,2.681,107.3,73.079,9.909,1.464
Brunei,BRN,1997,305341,2.315,2.6,107.3,73.326,9.623,1.533
Brunei,BRN,1998,312385,2.248,2.533,107.2,73.584,9.332,1.566
Brunei,BRN,1999,319411,2.201,2.461,107.2,73.806,9.051,1.639
Brunei,BRN,2000,326424,2.143,2.398,107,74.017,8.793,1.66
Brunei,BRN,2001,333345,2.054,2.337,106.9,74.209,8.567,1.569
Brunei,BRN,2002,340099,1.958,2.264,106.7,74.365,8.38,1.499
Brunei,BRN,2003,346637,1.851,2.185,106.7,74.509,8.235,1.383
Brunei,BRN,2004,352911,1.737,2.104,106.7,74.603,8.13,1.261
Brunei,BRN,2005,358916,1.638,2.024,106.8,74.683,8.062,1.163
Brunei,BRN,2006,364663,1.54,1.969,106.9,74.753,8.028,1.03
Brunei,BRN,2007,370873,1.835,1.933,107.1,74.793,8.02,2.291
Brunei,BRN,2008,377793,1.862,1.918,107.2,74.814,8.033,2.409
Brunei,BRN,2009,384952,1.892,1.921,107.4,74.814,8.062,2.489
Brunei,BRN,2010,392332,1.906,1.937,107.4,74.82,8.1,2.479
Brunei,BRN,2011,399389,1.662,1.957,107.5,74.835,8.14,1.399
Brunei,BRN,2012,405557,1.405,1.973,107.7,74.843,8.181,0.346
Brunei,BRN,2013,411202,1.36,1.978,107.9,74.854,8.217,0.285
Brunei,BRN,2014,416750,1.321,1.969,108.1,74.862,8.244,0.303
Brunei,BRN,2015,422212,1.283,1.947,108.3,74.88,8.263,0.356
Brunei,BRN,2016,427564,1.237,1.915,108.4,74.905,8.271,0.415
Brunei,BRN,2017,432772,1.185,1.881,108.5,74.943,8.269,0.44
Brunei,BRN,2018,437810,1.13,1.848,108.4,74.992,8.256,0.45
Brunei,BRN,2019,442680,1.083,1.819,108.2,75.049,8.235,0.456
Brunei,BRN,2020,447404,1.04,1.796,108,75.114,8.207,0.462
Brunei,BRN,2021,451721,0.881,1.778,107.9,74.869,8.174,0
Brunei,BRN,2022,455370,0.728,1.764,107.7,72.917,8.137,0
Brunei,BRN,2023,458949,0.837,1.747,107.6,75.327,8.101,0
Cambodia,KHM,1950,4375257,2.275,6.53,105.3,38.859,166.612,1.856
Cambodia,KHM,1951,4475692,2.265,6.514,105.3,39.037,164.995,1.415
Cambodia,KHM,1952,4577961,2.254,6.509,105.3,39.339,163.347,0.094
Cambodia,KHM,1953,4680450,2.175,6.519,105.3,39.618,161.67,-4.781
