name,iso3c,year,pop,births,tfr,sex_ratio,deaths,e0,imr,net
United Kingdom,GBR,1950,50121.017,817.314,2.224,106.1,589.015,68.631,30.099,151.663
United Kingdom,GBR,1951,50346.815,796.531,2.185,106,631.196,68.239,30.377,-93.691
United Kingdom,GBR,1952,50496.234,792.055,2.193,105.6,572.859,69.527,28.906,7.995
United Kingdom,GBR,1953,50727.037,794.626,2.227,105.9,575.6,69.805,27.742,15.385
United Kingdom,GBR,1954,50958.249,790.995,2.246,105.9,576.387,70.171,26.147,13.4
United Kingdom,GBR,1955,51176.747,793.412,2.279,106,593.831,70.134,25.771,9.403
United Kingdom,GBR,1956,51400.459,818.148,2.375,105.8,595.914,70.406,24.793,16.2
United Kingdom,GBR,1957,51655.912,843.837,2.47,106,589.236,70.525,24.325,17.875
United Kingdom,GBR,1958,51935.644,863.528,2.546,105.9,601.745,70.705,23.515,25.213
United Kingdom,GBR,1959,52226.471,879.177,2.604,106.2,603.536,70.828,23.012,19.006
United Kingdom,GBR,1960,52538.548,910.595,2.704,106.1,601.038,71.025,23.081,19.953
United Kingdom,GBR,1961,52884.948,939.632,2.789,106.1,628.633,70.79,22.375,52.295
United Kingdom,GBR,1962,53272.83,968.825,2.866,106.1,632.8,70.858,22.652,76.443
United Kingdom,GBR,1963,53652.936,989.544,2.91,105.7,650.069,70.761,21.927,8.271
United Kingdom,GBR,1964,54009.135,999.443,2.931,106,610.906,71.541,21.052,-23.885
United Kingdom,GBR,1965,54359.02,988.612,2.867,105.9,628.532,71.516,19.698,-24.955
United Kingdom,GBR,1966,54676.344,973.136,2.777,106.1,645.677,71.433,19.601,-27.935
United Kingdom,GBR,1967,54973.661,954.025,2.678,105.9,619.257,72.071,18.628,-39.659
United Kingdom,GBR,1968,55240.645,936.339,2.592,105.9,658.626,71.684,18.737,-38.852
United Kingdom,GBR,1969,55456.207,914.985,2.502,105.9,662.072,71.662,18.244,-60.655
United Kingdom,GBR,1970,55663.801,896.322,2.421,106,658.14,71.882,18.498,-15.254
United Kingdom,GBR,1971,55890.372,876.903,2.343,106.1,647.871,72.234,17.834,1.175
United Kingdom,GBR,1972,56079.239,825.796,2.182,106.3,676.864,71.988,17.039,-1.406
United Kingdom,GBR,1973,56188.791,777.786,2.036,106.5,672.363,72.185,16.665,-33.84
United Kingdom,GBR,1974,56224.55,735.878,1.915,106.1,670.237,72.376,16.41,-65.71
United Kingdom,GBR,1975,56220.143,696.561,1.807,106.1,665.069,72.65,15.579,-40.241
United Kingdom,GBR,1976,56201.138,673.104,1.738,105.9,683.222,72.634,14.244,-19.135
United Kingdom,GBR,1977,56175.829,657.894,1.689,106,657.615,73.111,14.082,-21.636
United Kingdom,GBR,1978,56175.556,686.72,1.753,105.9,669.703,73.043,13.619,3.783
United Kingdom,GBR,1979,56218.763,732.14,1.857,105.9,677.778,73.161,13.205,11.255
United Kingdom,GBR,1980,56282.103,749.962,1.888,105.2,663.701,73.591,12.363,-25.187
United Kingdom,GBR,1981,56304.592,728.036,1.817,105.3,660.251,73.916,11.105,-83.876
United Kingdom,GBR,1982,56292.755,718.929,1.778,105.4,665.358,74.039,10.911,-61.152
United Kingdom,GBR,1983,56332.058,720.473,1.766,105.6,661.358,74.293,10.192,27.063
United Kingdom,GBR,1984,56451.313,728.019,1.766,105.1,646.791,74.674,9.681,71.107
United Kingdom,GBR,1985,56606.414,747.104,1.788,105.3,672.405,74.536,9.404,83.164
United Kingdom,GBR,1986,56751.923,753.943,1.782,105.3,662.628,74.795,9.511,41.836
United Kingdom,GBR,1987,56886.024,773.01,1.808,105.3,646.22,75.147,9.236,8.266
United Kingdom,GBR,1988,57026.546,782.549,1.82,105,650.511,75.259,9.024,13.952
United Kingdom,GBR,1989,57182.136,780.02,1.794,105.1,664.419,75.397,8.424,49.586
United Kingdom,GBR,1990,57367.862,797.555,1.829,105,648.416,75.738,8.038,57.132
United Kingdom,GBR,1991,57555.192,794.106,1.817,105.2,653.316,75.911,7.347,27.601
United Kingdom,GBR,1992,57719.272,783.023,1.793,105.2,641.099,76.307,6.528,17.846
United Kingdom,GBR,1993,57861.037,762.216,1.758,105.3,665.859,76.16,6.328,27.403
United Kingdom,GBR,1994,58003.203,749.94,1.737,105.4,634.717,76.72,6.131,45.339
United Kingdom,GBR,1995,58154.635,733.841,1.709,105.2,652.927,76.614,6.141,61.385
United Kingdom,GBR,1996,58298.565,733.797,1.722,105.4,643.197,76.872,6.166,54.964
United Kingdom,GBR,1997,58447.089,728.676,1.722,105.2,636.917,77.139,5.79,59.723
United Kingdom,GBR,1998,58626.819,719.249,1.711,105.2,636.813,77.275,5.678,125.541
United Kingdom,GBR,1999,58838.657,703.837,1.682,105.4,640.79,77.373,5.739,152.653
United Kingdom,GBR,2000,59057.338,684.572,1.641,105.2,616.828,77.849,5.526,153.917
United Kingdom,GBR,2001,59288.09,675.043,1.624,105.1,610.333,78.121,5.456,175.133
United Kingdom,GBR,2002,59540.763,676.877,1.633,105.3,614.955,78.237,5.244,203.577
United Kingdom,GBR,2003,59820.385,701.719,1.698,105.2,619.822,78.33,5.38,211.846
United Kingdom,GBR,2004,60169.967,721.166,1.747,105.4,591.815,78.9,5.115,276.077
United Kingdom,GBR,2005,60596.108,729.201,1.761,105,590.62,79.106,5.102,308.279
United Kingdom,GBR,2006,61051.094,754.428,1.812,104.9,580.231,79.347,5.063,288.923
United Kingdom,GBR,2007,61535.855,778.605,1.863,105.3,581.592,79.534,4.902,309.385
United Kingdom,GBR,2008,62027.306,799.621,1.905,105.1,586.511,79.655,4.758,263.39
United Kingdom,GBR,2009,62506.226,797.81,1.893,105.2,566.115,80.156,4.678,249.639
United Kingdom,GBR,2010,63006.483,812.048,1.918,105.2,567.68,80.391,4.411,274.811
United Kingdom,GBR,2011,63509.285,814.718,1.911,105.1,557.068,80.796,4.334,228.773
United Kingdom,GBR,2012,63960.484,817.336,1.909,105.3,573.444,80.859,4.128,172.088
United Kingdom,GBR,2013,64389.388,785.366,1.83,105.4,580.798,80.923,3.843,237.272
United Kingdom,GBR,2014,64865.916,779.584,1.811,105.4,574.464,81.153,3.844,306.091
United Kingdom,GBR,2015,65382.11,779.219,1.801,105.5,605.88,80.919,3.871,347.839
United Kingdom,GBR,2016,65893.358,776.038,1.785,105.4,599.376,81.067,3.845,324.649
United Kingdom,GBR,2017,66354.471,757.154,1.735,105.3,608.561,81.164,3.881,272.311
United Kingdom,GBR,2018,66752.475,733.085,1.676,105.5,617.718,81.123,3.791,259.744
United Kingdom,GBR,2019,67110.958,714.388,1.632,105.5,605.258,81.443,3.898,232.727
United Kingdom,GBR,2020,67351.861,687.269,1.571,105.5,691.537,80.385,3.692,144.221
United Kingdom,GBR,2021,67668.792,693.027,1.583,105.5,662.086,80.708,3.872,462.967
United Kingdom,GBR,2022,68179.315,688.63,1.56,105.5,648.522,81.074,3.824,487.029
United Kingdom,GBR,2023,68682.962,688.388,1.56,105.5,653.747,81.302,3.703,445.523
