name,iso3c,region_sdg,region_geo,grp_income,grp_develop,pop,growth_rate,tfr,sex_ratio,e0,imr,net
Burundi,BDI,Sub-Saharan Africa,Africa,low,less-least,13689.45,2.71,4.878,102.5,63.651,35.397,1.995
Comoros,COM,Sub-Saharan Africa,Africa,lower-middle,less-least,850.387,1.91,3.878,103.2,66.777,37.172,-2.002
Djibouti,DJI,Sub-Saharan Africa,Africa,lower-middle,less-least,1152.944,1.375,2.609,103.7,65.987,36.297,0.5
Eritrea,ERI,Sub-Saharan Africa,Africa,low,less-least,3470.39,1.809,3.713,103.2,68.624,27.089,-15.284
Ethiopia,ETH,Sub-Saharan Africa,Africa,low,less-least,128691.692,2.585,3.989,105.5,67.315,32.962,-11.996
Kenya,KEN,Sub-Saharan Africa,Africa,lower-middle,less,55339.003,1.972,3.208,102.2,63.646,29.652,-10.003
Madagascar,MDG,Sub-Saharan Africa,Africa,low,less-least,31195.932,2.452,3.972,103.8,63.632,45.017,-1.487
Malawi,MWI,Sub-Saharan Africa,Africa,low,less-least,21104.482,2.574,3.648,101.4,67.353,29.546,-5.811
Mauritius,MUS,Sub-Saharan Africa,Africa,upper-middle,less,1273.588,-0.168,1.241,103.5,74.926,12.898,-2.824
Mayotte,MYT,Sub-Saharan Africa,Africa,upper,less,316.015,3.314,4.616,102.6,76.054,8.893,0.137
Mozambique,MOZ,Sub-Saharan Africa,Africa,low,less-least,33635.16,2.941,4.763,102,63.611,49.744,-36.276
Réunion,REU,Sub-Saharan Africa,Africa,upper,less,874.883,0.41,2.174,103,83.547,5.096,-3.625
Rwanda,RWA,Sub-Saharan Africa,Africa,low,less-least,13954.471,2.177,3.698,102.6,67.785,27.509,-9.001
Seychelles,SYC,Sub-Saharan Africa,Africa,upper,less,127.951,1.964,2.133,103.6,72.862,11.81,1.809
Somalia,SOM,Sub-Saharan Africa,Africa,low,less-least,18358.615,3.565,6.132,104.4,58.816,66.277,46.217
South Sudan,SSD,Sub-Saharan Africa,Africa,low,less-least,11483.374,5.862,3.864,103.5,57.617,63.815,455
Uganda,UGA,Sub-Saharan Africa,Africa,low,less-least,48656.601,2.777,4.283,102.9,68.252,28.805,-126.181
United Republic of Tanzania,TZA,Sub-Saharan Africa,Africa,lower-middle,less-least,66617.606,2.884,4.606,103.1,66.995,28.922,-39.388
Zambia,ZMB,Sub-Saharan Africa,Africa,lower-middle,less-least,20723.965,2.833,4.101,101.1,66.349,38.24,9.521
Zimbabwe,ZWE,Sub-Saharan Africa,Africa,lower-middle,less,16340.822,1.684,3.724,102.5,62.775,33.196,-97.38
Angola,AGO,Sub-Saharan Africa,Africa,lower-middle,less-least,36749.906,3.064,5.124,102.7,64.617,48.637,-0.995
Cameroon,CMR,Sub-Saharan Africa,Africa,lower-middle,less,28372.687,2.643,4.322,103,63.7,47.404,-4.798
Central African Republic,CAF,Sub-Saharan Africa,Africa,low,less-least,5152.421,3.41,6.012,103.2,57.408,68.498,-14.682
Chad,TCD,Sub-Saharan Africa,Africa,low,less-least,19319.064,5.71,6.12,104.2,55.069,64.224,496.83
Congo,COG,Sub-Saharan Africa,Africa,lower-middle,less,6182.885,2.418,4.157,102.6,65.772,28.818,-0.995
Democratic Republic of the Congo,COD,Sub-Saharan Africa,Africa,low,less-least,105789.731,3.264,6.051,102.3,61.895,49.33,-14.992
Equatorial Guinea,GNQ,Sub-Saharan Africa,Africa,upper-middle,less,1847.549,2.389,4.081,103.2,63.707,52.893,3.997
Gabon,GAB,Sub-Saharan Africa,Africa,upper-middle,less,2484.789,2.179,3.647,102.1,68.337,27.464,0.987
