name,iso3c,year,pop,births,tfr,sex_ratio,deaths,e0,imr,net,grp_income,grp_develop
Brunei,BRN,1950,48.297,2.348,6.977,107,0.842,50.565,128.595,1.375,upper,less
Brunei,BRN,1951,51.19,2.558,7.028,107,0.884,51.538,121.147,1.239,upper,less
Brunei,BRN,1952,54.233,2.711,7.1,106.9,0.908,52.439,114.095,1.369,upper,less
Brunei,BRN,1953,57.559,2.888,7.2,106.9,0.925,53.322,107.307,1.51,upper,less
Brunei,BRN,1954,61.209,3.085,7.308,106.9,0.941,54.169,100.803,1.693,upper,less
Brunei,BRN,1955,65.21,3.29,7.397,106.8,0.958,54.978,94.585,1.84,upper,less
Brunei,BRN,1956,69.548,3.494,7.448,106.7,0.974,55.74,88.66,1.972,upper,less
Brunei,BRN,1957,74.164,3.699,7.476,106.6,0.987,56.51,83.022,2.029,upper,less
Brunei,BRN,1958,78.972,3.893,7.475,106.4,0.998,57.265,77.671,1.976,upper,less
Brunei,BRN,1959,83.842,4.054,7.421,106.4,1.003,58.02,72.573,1.809,upper,less
Brunei,BRN,1960,88.347,4.173,7.322,106.5,1.004,58.721,67.856,0.982,upper,less
Brunei,BRN,1961,92.517,4.161,7.185,106.6,0.986,59.387,63.542,1.014,upper,less
Brunei,BRN,1962,96.719,4.144,7.03,106.6,1.016,58.824,59.63,1.088,upper,less
Brunei,BRN,1963,101.159,4.146,6.893,106.7,0.952,60.625,56.088,1.469,upper,less
Brunei,BRN,1964,105.922,4.207,6.773,106.8,0.944,61.267,52.854,1.595,upper,less
Brunei,BRN,1965,110.838,4.273,6.647,106.8,0.947,61.721,50.092,1.655,upper,less
Brunei,BRN,1966,115.874,4.343,6.514,106.7,0.939,62.401,47.308,1.697,upper,less
Brunei,BRN,1967,121.017,4.418,6.372,106.6,0.94,62.909,44.876,1.703,upper,less
Brunei,BRN,1968,126.222,4.489,6.204,106.6,0.938,63.47,42.615,1.677,upper,less
Brunei,BRN,1969,131.446,4.557,6.008,106.7,0.938,63.963,40.5,1.608,upper,less
Brunei,BRN,1970,135.138,4.631,5.801,106.7,0.936,64.49,38.412,-1.538,upper,less
Brunei,BRN,1971,137.921,4.776,5.619,106.8,0.897,64.975,36.317,-0.476,upper,less
Brunei,BRN,1972,142.189,4.956,5.5,106.9,0.871,65.447,34.186,1.053,upper,less
Brunei,BRN,1973,147.369,5.08,5.355,106.9,0.864,65.95,32.02,1.007,upper,less
Brunei,BRN,1974,152.656,5.192,5.183,106.9,0.859,66.442,29.817,1.011,upper,less
Brunei,BRN,1975,158.07,5.285,4.99,106.9,0.853,66.95,27.632,1.047,upper,less
Brunei,BRN,1976,163.607,5.37,4.784,106.9,0.851,67.411,25.501,1.08,upper,less
Brunei,BRN,1977,169.277,5.446,4.58,106.9,0.852,67.833,23.461,1.157,upper,less
Brunei,BRN,1978,174.884,5.521,4.389,106.9,0.854,68.258,21.545,0.791,upper,less
Brunei,BRN,1979,180.422,5.573,4.216,106.9,0.856,68.642,19.779,0.899,upper,less
Brunei,BRN,1980,186.111,5.635,4.067,107,0.861,69.014,18.186,0.995,upper,less
Brunei,BRN,1981,191.977,5.707,3.943,106.9,0.869,69.344,16.773,1.124,upper,less
Brunei,BRN,1982,198.165,5.81,3.841,106.9,0.878,69.669,15.543,1.475,upper,less
Brunei,BRN,1983,204.741,6.028,3.751,106.9,0.89,69.991,14.496,1.602,upper,less
Brunei,BRN,1984,211.661,6.279,3.68,106.8,0.907,70.236,13.621,1.722,upper,less
Brunei,BRN,1985,218.919,6.542,3.612,106.9,0.923,70.499,12.908,1.808,upper,less
Brunei,BRN,1986,226.495,6.764,3.549,107.1,0.938,70.762,12.342,1.897,upper,less
Brunei,BRN,1987,233.86,6.973,3.491,107.2,0.956,70.982,11.905,0.994,upper,less
Brunei,BRN,1988,240.913,7.108,3.435,107.3,0.973,71.183,11.574,0.962,upper,less
Brunei,BRN,1989,248.064,7.19,3.364,107.2,0.987,71.408,11.326,1.002,upper,less
Brunei,BRN,1990,255.292,7.268,3.29,107.2,1.003,71.629,11.134,0.992,upper,less
Brunei,BRN,1991,262.596,7.276,3.206,107.2,1.017,71.858,10.967,1.087,upper,less
Brunei,BRN,1992,269.839,7.198,3.111,107.1,1.029,72.09,10.804,0.969,upper,less
Brunei,BRN,1993,276.971,7.083,3.007,107.2,1.037,72.333,10.626,1.082,upper,less
Brunei,BRN,1994,284.091,6.954,2.901,107.2,1.047,72.571,10.418,1.206,upper,less
Brunei,BRN,1995,291.195,6.805,2.787,107.2,1.056,72.838,10.178,1.348,upper,less
Brunei,BRN,1996,298.276,6.674,2.681,107.3,1.067,73.079,9.909,1.464,upper,less
Brunei,BRN,1997,305.341,6.599,2.6,107.3,1.08,73.326,9.623,1.533,upper,less
Brunei,BRN,1998,312.385,6.56,2.533,107.2,1.094,73.584,9.332,1.566,upper,less
Brunei,BRN,1999,319.411,6.5,2.461,107.2,1.112,73.806,9.051,1.639,upper,less
Brunei,BRN,2000,326.424,6.464,2.398,107,1.133,74.017,8.793,1.66,upper,less
Brunei,BRN,2001,333.345,6.433,2.337,106.9,1.157,74.209,8.567,1.569,upper,less
Brunei,BRN,2002,340.099,6.355,2.264,106.7,1.186,74.365,8.38,1.499,upper,less
Brunei,BRN,2003,346.637,6.252,2.185,106.7,1.217,74.509,8.235,1.383,upper,less
Brunei,BRN,2004,352.911,6.128,2.104,106.7,1.255,74.603,8.13,1.261,upper,less
Brunei,BRN,2005,358.916,5.998,2.024,106.8,1.296,74.683,8.062,1.163,upper,less
Brunei,BRN,2006,364.663,5.93,1.969,106.9,1.34,74.753,8.028,1.03,upper,less
Brunei,BRN,2007,370.873,5.913,1.933,107.1,1.391,74.793,8.02,2.291,upper,less
Brunei,BRN,2008,377.793,6.05,1.918,107.2,1.426,74.814,8.033,2.409,upper,less
Brunei,BRN,2009,384.952,6.252,1.921,107.4,1.464,74.814,8.062,2.489,upper,less
Brunei,BRN,2010,392.332,6.504,1.937,107.4,1.501,74.82,8.1,2.479,upper,less
