name,iso3c,region_sdg,region_geo,grp_income,grp_develop,pop,births,tfr,sex_ratio,deaths,e0,imr,net
Burundi,BDI,Sub-Saharan Africa,Africa,low,less-least,13689.45,460.882,4.878,102.5,91.963,63.651,35.397,1.995
Comoros,COM,Sub-Saharan Africa,Africa,lower-middle,less-least,850.387,24.366,3.878,103.2,6.119,66.777,37.172,-2.002
Djibouti,DJI,Sub-Saharan Africa,Africa,lower-middle,less-least,1152.944,23.946,2.609,103.7,8.596,65.987,36.297,0.5
Eritrea,ERI,Sub-Saharan Africa,Africa,low,less-least,3470.39,99.058,3.713,103.2,20.984,68.624,27.089,-15.284
Ethiopia,ETH,Sub-Saharan Africa,Africa,low,less-least,128691.692,4105.685,3.989,105.5,767.018,67.315,32.962,-11.996
Kenya,KEN,Sub-Saharan Africa,Africa,lower-middle,less,55339.003,1499.998,3.208,102.2,399.024,63.646,29.652,-10.003
Madagascar,MDG,Sub-Saharan Africa,Africa,low,less-least,31195.932,1001.244,3.972,103.8,234.841,63.632,45.017,-1.487
Malawi,MWI,Sub-Saharan Africa,Africa,low,less-least,21104.482,662.289,3.648,101.4,113.181,67.353,29.546,-5.811
Mauritius,MUS,Sub-Saharan Africa,Africa,upper-middle,less,1273.588,11.804,1.241,103.5,11.124,74.926,12.898,-2.824
Mayotte,MYT,Sub-Saharan Africa,Africa,upper,less,316.015,11.186,4.616,102.6,0.854,76.054,8.893,0.137
Mozambique,MOZ,Sub-Saharan Africa,Africa,low,less-least,33635.16,1260.855,4.763,102,235.52,63.611,49.744,-36.276
Réunion,REU,Sub-Saharan Africa,Africa,upper,less,874.883,12.003,2.174,103,4.797,83.547,5.096,-3.625
Rwanda,RWA,Sub-Saharan Africa,Africa,low,less-least,13954.471,395.578,3.698,102.6,82.826,67.785,27.509,-9.001
Seychelles,SYC,Sub-Saharan Africa,Africa,upper,less,127.951,1.744,2.133,103.6,1.051,72.862,11.81,1.809
Somalia,SOM,Sub-Saharan Africa,Africa,low,less-least,18358.615,788.763,6.132,104.4,180.554,58.816,66.277,46.217
South Sudan,SSD,Sub-Saharan Africa,Africa,low,less-least,11483.374,328.308,3.864,103.5,110.339,57.617,63.815,455
Uganda,UGA,Sub-Saharan Africa,Africa,low,less-least,48656.601,1712.75,4.283,102.9,235.583,68.252,28.805,-126.181
