name,iso3c,year,pop,births,tfr,sex_ratio,deaths,e0,imr,net
China,CHN,1950,544044.358,22293.375,5.813,106.1,12564.024,43.829,127.119,-20.646
China,CHN,1951,553758.247,22144.814,5.699,106.1,12411.699,44.557,124.695,-14.036
China,CHN,1952,565131.438,25496.318,6.472,106.1,12459.842,45.342,122.187,-9.17
China,CHN,1953,577557.138,24139.415,6.042,106.1,12309.528,45.909,119.746,-5.792
China,CHN,1954,590113.858,25438.543,6.278,106.1,12145.57,46.763,117.757,-3.632
China,CHN,1955,603547.007,25727.524,6.263,106.1,12148.175,47.237,114.942,-2.402
China,CHN,1956,616558.583,24364.154,5.854,106.1,11916.102,47.807,112.601,-1.85
China,CHN,1957,630356.208,27068.471,6.425,106.1,11917.715,48.378,110.232,-1.699
China,CHN,1958,644219.479,24284.912,5.698,106.1,11704.871,48.834,107.886,-2.545
China,CHN,1959,652708.217,20310.612,4.718,106.1,15902.353,40.17,153.478,-8.276
China,CHN,1960,654802.069,19310.83,4.451,106.1,19506.188,33.419,196.106,-16.927
China,CHN,1961,655773.486,16879.455,3.863,106.1,14698.762,40.158,154.337,-25.578
China,CHN,1962,665073.691,26826.299,6.085,106.2,10349.702,50.959,98.595,-31.305
China,CHN,1963,684552.645,33461.05,7.513,106.2,10917.053,51.67,96.202,-31.383
China,CHN,1964,704798.265,30071.914,6.672,106.2,10842.874,52.343,93.762,-1250.441
China,CHN,1965,723415.733,30064.192,6.605,106.2,10676.969,53.001,91.276,-130.9
China,CHN,1966,742402.213,29208.554,6.307,106.2,10496.09,53.662,88.749,4.165
China,CHN,1967,761026.026,27472.169,5.806,106.3,10187.821,54.401,86.132,1246.654
China,CHN,1968,781011.025,31649.577,6.508,106.3,10173.291,55.191,83.382,-37.29
China,CHN,1969,802140.332,30911.42,6.175,106.3,10018.983,55.988,80.51,-72.836
China,CHN,1970,823308.967,31461.75,6.085,106.4,9817.575,56.824,77.473,-126.51
China,CHN,1971,844069.867,29670.983,5.523,106.4,9486.697,57.731,74.261,-180.153
China,CHN,1972,863677.814,28596.626,5.112,106.4,9169.215,58.579,71.017,-215.65
China,CHN,1973,882576.946,27636.942,4.726,106.4,8835.447,59.496,67.731,-214.997
China,CHN,1974,900307.582,25594.012,4.17,106.5,8544.007,60.241,64.51,-175.239
China,CHN,1975,916116.793,23099.724,3.571,106.6,8240.904,60.952,61.463,-115.173
China,CHN,1976,930372.292,22013.49,3.235,106.7,8191.034,61.225,58.756,-55.109
China,CHN,1977,943546.375,20323.856,2.844,106.8,7727.709,62.458,55.203,-15.323
China,CHN,1978,956161.485,20249.289,2.716,106.9,7589.981,63.102,52.521,-9.916
China,CHN,1979,969288.069,21151.275,2.745,107,7533.806,63.704,50.111,-13.704
China,CHN,1980,983163.542,21674.421,2.739,107.1,7507.117,64.243,48.07,-20.129
China,CHN,1981,997721.071,22489.545,2.792,107.3,7493.645,64.778,46.234,-28.016
China,CHN,1982,1013588.179,24352.551,2.972,107.5,7550.025,65.249,44.74,-36.181
China,CHN,1983,1029064.956,21682.298,2.559,107.8,7451.333,65.728,43.562,-43.756
China,CHN,1984,1043849.638,22909.693,2.607,108.1,7475.573,66.148,42.67,-51.961
China,CHN,1985,1059807.82,24136.257,2.633,108.6,7541.116,66.532,42.022,-60.929
China,CHN,1986,1077233.607,26044.589,2.721,109.1,7648.042,66.887,41.534,-79.19
China,CHN,1987,1096217.446,27557.082,2.76,109.7,7737.587,67.263,41.17,-169.17
China,CHN,1988,1115244.165,26442.277,2.539,110.4,7756.967,67.607,40.879,-282.194
China,CHN,1989,1133991.008,27234.008,2.52,111.1,7829.967,67.93,40.549,-313.476
China,CHN,1990,1153582.724,28079.115,2.514,111.8,7975.059,68.155,40.118,-11.187
China,CHN,1991,1170788.528,22645.215,1.934,112.5,7781.832,68.61,39.603,-544.65
China,CHN,1992,1184574.237,21066.913,1.776,113.2,7671.254,69.059,38.889,-142.985
China,CHN,1993,1197308.575,20203.478,1.691,113.9,7614.159,69.492,38.03,-373.316
China,CHN,1994,1209003.096,19528.689,1.628,114.6,7632.007,69.835,37.005,-723.641
China,CHN,1995,1220133.927,19003.368,1.588,115.2,7548.769,70.363,35.828,-365.986
China,CHN,1996,1230944.812,18306.56,1.554,115.7,7522.666,70.823,34.489,-250.75
China,CHN,1997,1241139.622,17677.015,1.527,116.2,7541.292,71.227,32.985,-279.251
China,CHN,1998,1250847.127,17187.249,1.522,116.6,7588.236,71.601,31.423,-40.472
China,CHN,1999,1260176.655,16862.871,1.53,116.9,7666.251,71.952,29.708,-96.102
China,CHN,2000,1269581.175,17551.191,1.628,117.2,7780.052,72.288,27.939,-62.622
China,CHN,2001,1278725.063,16586.483,1.563,117.4,7830.805,72.675,26.13,-176.419
China,CHN,2002,1286866.839,16382.375,1.566,117.6,7916.788,73.034,24.319,-761.291
China,CHN,2003,1294517.326,16221.728,1.57,117.7,8011.828,73.385,22.522,-613.223
China,CHN,2004,1302100.316,16461.427,1.605,117.8,8121.149,73.727,20.795,-770.977
China,CHN,2005,1310027.136,16602.725,1.624,117.8,8214.687,74.085,19.158,-103.701
China,CHN,2006,1318054.036,16868.048,1.644,117.8,8339.014,74.404,17.635,-759.559
China,CHN,2007,1325813.582,17202.357,1.666,117.7,8410.715,74.789,16.228,-1042.019
China,CHN,2008,1333821.016,17712.99,1.701,117.5,8683.382,74.833,15.094,-764.37
China,CHN,2009,1342522.716,18031.193,1.714,117.4,8715.893,75.317,13.771,-177.135
China,CHN,2010,1351561.514,17912.367,1.687,117.1,8788.797,75.668,12.733,-184.144
China,CHN,2011,1360250.664,17824.404,1.668,116.8,8969.343,75.889,11.749,-416.189
China,CHN,2012,1369520.864,19246.445,1.798,116.4,9086.053,76.2,10.869,-58.864
China,CHN,2013,1379008.04,18297.106,1.714,116,9235.338,76.452,10.066,-188.951
China,CHN,2014,1387951.972,18769.423,1.769,115.5,9383.269,76.714,9.33,-371.108
China,CHN,2015,1396134.174,17518.179,1.67,115,9521.879,76.975,8.653,-646.941
China,CHN,2016,1404052.632,18329.285,1.772,114.5,9688.663,77.214,8.041,-153.056
China,CHN,2017,1412354.727,18260.492,1.795,113.3,10049.252,77.235,7.471,-94.625
China,CHN,2018,1419008.956,15357.072,1.539,113.9,9967.028,77.709,6.958,-198.206
China,CHN,2019,1423520.357,14615.866,1.496,113.9,10128.804,77.94,6.488,-656.091
China,CHN,2020,1426106.093,11843.469,1.236,111.2,10411.385,78.019,6.052,-91.577
China,CHN,2021,1426437.267,10461.124,1.117,110.4,10759.526,78.117,5.651,-379.749
China,CHN,2022,1425179.569,9455.32,1.034,110.6,10998.729,78.202,5.326,-293.846
China,CHN,2023,1422584.933,8899.881,0.999,110.8,11684.177,77.953,5.102,-567.724
