name,iso3c,year,pop,births,tfr,sex_ratio,deaths,e0,imr,net
Afghanistan,AFG,1950,7776.176,383.985,7.248,104.9,290.97,28.156,281.608,6.161
Afghanistan,AFG,1951,7879.339,391.002,7.26,104.9,288.753,28.584,277.376,4.903
Afghanistan,AFG,1952,7987.783,397.663,7.26,104.9,288.064,29.014,273.072,0.145
Afghanistan,AFG,1953,8096.698,404.666,7.266,104.9,287.712,29.452,268.729,-8.867
Afghanistan,AFG,1954,8207.95,410.428,7.254,104.9,289.189,29.698,264.727,-6.837
Afghanistan,AFG,1955,8326.979,417.65,7.262,104.9,286.725,30.366,259.789,-7.263
Afghanistan,AFG,1956,8454.301,425.071,7.269,104.9,286.659,30.83,255.383,-7.419
Afghanistan,AFG,1957,8588.335,432.044,7.264,104.9,286.115,31.345,250.901,-8.858
Afghanistan,AFG,1958,8723.401,439.867,7.269,104.9,285.913,31.84,246.58,-20.889
Afghanistan,AFG,1959,8869.27,447.51,7.276,104.9,285.503,32.337,242.333,-3.333
Afghanistan,AFG,1960,9035.043,456.418,7.282,104.9,286.157,32.799,238.298,2.606
Afghanistan,AFG,1961,9214.083,465.92,7.284,104.9,286.822,33.291,234.314,6.109
Afghanistan,AFG,1962,9404.406,476.486,7.292,104.9,288.059,33.757,230.406,7.016
Afghanistan,AFG,1963,9604.487,487.782,7.302,104.9,289.744,34.201,226.706,6.681
Afghanistan,AFG,1964,9814.318,499.081,7.304,104.9,291.214,34.673,222.883,7.079
Afghanistan,AFG,1965,10036.008,510.721,7.305,104.9,292.983,35.124,219.224,10.695
Afghanistan,AFG,1966,10266.395,523.769,7.32,104.9,294.989,35.583,215.625,3.563
Afghanistan,AFG,1967,10505.959,536.916,7.339,104.9,296.952,36.042,212.018,6.824
Afghanistan,AFG,1968,10756.922,550.849,7.363,104.9,299.048,36.51,208.36,3.333
Afghanistan,AFG,1969,11017.409,564.969,7.389,104.9,301.151,36.979,204.773,2.029
Afghanistan,AFG,1970,11290.128,578.135,7.4,104.9,302.999,37.46,201.173,4.458
Afghanistan,AFG,1971,11567.667,593.459,7.432,104.9,305.185,37.932,197.623,-12.801
Afghanistan,AFG,1972,11853.696,607.433,7.453,105,306.801,38.423,194.114,-4.05
Afghanistan,AFG,1973,12157.999,623.433,7.487,105,308.373,38.951,190.411,-3.03
Afghanistan,AFG,1974,12469.127,640.572,7.526,105,310.343,39.469,186.769,-20.009
Afghanistan,AFG,1975,12773.954,655.576,7.542,105,311.723,39.994,182.957,-44.418
Afghanistan,AFG,1976,13059.851,670.354,7.561,105,312.568,40.518,179.17,-85.43
Afghanistan,AFG,1977,13340.756,684.795,7.591,105,312.223,41.082,175.212,-83.115
Afghanistan,AFG,1978,13611.441,698.108,7.599,105,329.008,40.086,173.836,-117.186
Afghanistan,AFG,1979,13655.567,710.483,7.612,105,348.736,38.844,173.141,-525.413
Afghanistan,AFG,1980,13169.311,703.929,7.643,105,338.529,39.258,169.379,-1174.239
Afghanistan,AFG,1981,11937.581,658.773,7.617,105,315.309,39.406,166.083,-1998.086
Afghanistan,AFG,1982,10991.378,571.255,7.6,105.1,308.042,36.058,169.985,-500.998
Afghanistan,AFG,1983,10917.982,558.71,7.57,105.1,294.924,36.517,166.01,-172.797
Afghanistan,AFG,1984,11190.221,563.44,7.554,105.1,358.182,31.473,175.734,248.224
Afghanistan,AFG,1985,11426.852,590.687,7.55,105.2,362.217,32.132,171.248,-208.685
Afghanistan,AFG,1986,11420.074,596.068,7.553,105.3,286,38.4,153.45,-343.397
Afghanistan,AFG,1987,11387.818,594.693,7.548,105.3,280.339,38.831,149.708,-345.535
Afghanistan,AFG,1988,11523.298,595.844,7.551,105.4,237.447,43.238,138.433,-56.263
Afghanistan,AFG,1989,11874.088,613.672,7.559,105.4,232.519,44.496,133.362,18.296
Afghanistan,AFG,1990,12045.66,637.076,7.576,105.5,234.642,45.118,129.588,-458.737
Afghanistan,AFG,1991,12238.879,639.838,7.631,105.6,229.887,45.521,126.544,32.782
Afghanistan,AFG,1992,13278.974,668.128,7.703,105.6,228.005,46.569,121.089,1197.329
Afghanistan,AFG,1993,14943.172,759.621,7.761,105.6,218.362,51.021,112.799,1149.684
Afghanistan,AFG,1994,16250.794,851.696,7.767,105.7,242.606,50.969,108.938,315.206
Afghanistan,AFG,1995,17065.836,899.076,7.767,105.8,245.793,52.103,106.061,52.505
Afghanistan,AFG,1996,17763.266,932.409,7.757,106,247.402,52.83,102.994,4.072
Afghanistan,AFG,1997,18452.091,961.674,7.732,106.2,251.891,53.212,100.756,-21.215
Afghanistan,AFG,1998,19159.996,985.909,7.693,106.4,266.057,52.487,98.918,7.38
Afghanistan,AFG,1999,19887.785,1013.252,7.641,106.5,252.507,54.532,94.9,-32.4
Afghanistan,AFG,2000,20130.327,1036.525,7.566,106.5,253.807,55.005,92.106,-1025.973
Afghanistan,AFG,2001,20284.307,1006.562,7.453,106.5,242.471,55.511,89.492,-212.872
Afghanistan,AFG,2002,21378.117,1015.202,7.32,106.5,239.157,56.225,86.845,860.349
Afghanistan,AFG,2003,22733.049,1069.727,7.174,106.5,243.57,57.171,83.412,247.317
Afghanistan,AFG,2004,23560.654,1095.372,7.018,106.4,244.433,57.81,80.574,-269.194
Afghanistan,AFG,2005,24404.567,1097.038,6.858,106.3,241.933,58.247,78.012,250.971
Afghanistan,AFG,2006,25424.094,1120.88,6.686,106.3,245.583,58.553,75.332,57.673
Afghanistan,AFG,2007,25909.852,1135.656,6.508,106.3,245.81,58.956,72.364,-851.298
Afghanistan,AFG,2008,26482.622,1126.525,6.392,106.3,235.284,59.708,69.647,215.753
Afghanistan,AFG,2009,27466.101,1158.017,6.295,106.2,237.448,60.248,67.635,-60.602
Afghanistan,AFG,2010,28284.089,1181.113,6.195,106.1,237.639,60.702,65.419,-167.46
Afghanistan,AFG,2011,29347.708,1202.456,6.094,105.9,235.726,61.25,62.952,384.486
Afghanistan,AFG,2012,30560.034,1243.843,5.985,105.8,239.04,61.735,60.78,68.628
Afghanistan,AFG,2013,31622.704,1274.03,5.879,105.7,240.24,62.188,58.788,18.119
Afghanistan,AFG,2014,32792.523,1300.107,5.77,105.6,246.291,62.26,57.475,233.913
Afghanistan,AFG,2015,33831.764,1331.758,5.652,105.6,254.691,62.27,56.128,-286.314
Afghanistan,AFG,2016,34700.612,1344.01,5.542,105.5,254.011,62.646,54.487,-143.049
Afghanistan,AFG,2017,35688.935,1362.27,5.433,105.4,261.082,62.406,51.546,-71.491
Afghanistan,AFG,2018,36743.039,1382.424,5.327,105.3,267.162,62.443,50.062,-36.753
Afghanistan,AFG,2019,37856.121,1405.919,5.238,105.3,267.424,62.941,48.981,9.159
Afghanistan,AFG,2020,39068.979,1429.983,5.145,105.2,295.554,61.454,48.009,143.634
Afghanistan,AFG,2021,40000.412,1453.685,5.039,105.2,320.099,60.417,46.924,-548.784
Afghanistan,AFG,2022,40578.842,1462.654,4.932,105.2,243.193,65.617,45.192,-647.402
Afghanistan,AFG,2023,41454.761,1469.029,4.84,105.1,240.296,66.035,43.951,-48.958
Bangladesh,BGD,1950,41206.856,1910.563,6.374,104.8,1137.412,37.411,201.152,8.31
Bangladesh,BGD,1951,42022.304,1963.247,6.394,104.8,1127.457,38.136,197.565,13.639
Bangladesh,BGD,1952,42893.011,2014.888,6.406,104.8,1120,38.844,193.988,-2.897
Bangladesh,BGD,1953,43791.391,2067.396,6.421,104.8,1117.125,39.445,190.593,-45.502
Bangladesh,BGD,1954,44741.296,2129.606,6.472,104.7,1104.041,40.372,186.664,-30.537
Bangladesh,BGD,1955,45767.684,2189.408,6.505,104.7,1101.026,41.066,183.164,-30.64
Bangladesh,BGD,1956,46854.417,2250.651,6.537,104.7,1104.399,41.603,179.972,-30.532
Bangladesh,BGD,1957,48004.669,2316.244,6.576,104.7,1092.923,42.575,176.152,-38.537
Bangladesh,BGD,1958,49184.054,2381.133,6.608,104.7,1098.858,43.083,173.162,-108.295
Bangladesh,BGD,1959,50441.762,2455.238,6.678,104.7,1100.557,43.716,170.055,-13.242
Bangladesh,BGD,1960,51828.66,2539.537,6.742,104.7,1120.765,43.98,168.789,13.58
Bangladesh,BGD,1961,53310.348,2619.175,6.78,104.7,1114.675,44.887,164.567,26.503
Bangladesh,BGD,1962,54881.146,2694.801,6.806,104.7,1110.734,45.765,161.326,26.533
Bangladesh,BGD,1963,56504.402,2754.01,6.798,104.8,1141.302,45.722,160.193,23.215
Bangladesh,BGD,1964,58178.374,2813.709,6.785,104.8,1127.11,46.752,156.961,25.426
Bangladesh,BGD,1965,59902.519,2873.709,6.771,104.8,1185.053,46.046,157.597,47.61
Bangladesh,BGD,1966,61669.806,2940.984,6.766,104.8,1146.44,47.644,153.649,3.758
Bangladesh,BGD,1967,63510.929,3020.54,6.79,104.9,1159.753,48.066,152.38,23.164
Bangladesh,BGD,1968,65408.276,3096.247,6.791,104.9,1177.531,48.4,151.493,-7.97
Bangladesh,BGD,1969,67294.133,3184.509,6.806,104.9,1198.539,48.686,150.841,-125.01
Bangladesh,BGD,1970,69058.894,3271.921,6.839,104.9,1529.639,42.667,163.613,-73.719
Bangladesh,BGD,1971,70276.758,3345.133,6.831,104.9,2802.343,26.522,195.722,224.369
Bangladesh,BGD,1972,71641.519,3454.35,6.816,105,1223.166,49.647,149.202,-269.033
Bangladesh,BGD,1973,73722.294,3528.818,6.8,105,1252.301,49.914,148.691,-77.324
Bangladesh,BGD,1974,75839.348,3623.086,6.778,105,1310.63,49.589,150.795,-277.545
Bangladesh,BGD,1975,77854.351,3675.988,6.728,105,1290.674,50.627,146.747,-390.212
Bangladesh,BGD,1976,79855.318,3739.734,6.66,105,1307.923,50.951,145.531,-424.97
Bangladesh,BGD,1977,81867.264,3799.386,6.583,105.1,1323.85,51.265,144.03,-458.491
Bangladesh,BGD,1978,83889.655,3851.271,6.509,105.2,1336.819,51.596,142.232,-486.721
Bangladesh,BGD,1979,85935.072,3918.405,6.421,105.2,1347.954,51.959,140.097,-507.354
Bangladesh,BGD,1980,88016.432,3975.289,6.326,105.2,1359.754,52.278,137.806,-515.918
Bangladesh,BGD,1981,90303.105,4025.799,6.237,104.8,1367.18,52.638,135.156,-184.884
Bangladesh,BGD,1982,92814.507,4079.896,6.118,104.5,1374.092,53.012,132.328,-156.729
Bangladesh,BGD,1983,95335.155,4065.452,5.906,104.6,1371.317,53.441,129.301,-201.909
Bangladesh,BGD,1984,97814.966,4082.289,5.732,104.5,1369.199,53.826,126.206,-245.693
Bangladesh,BGD,1985,100253.825,4078.821,5.539,104.6,1380.638,53.937,123.336,-287.872
Bangladesh,BGD,1986,102635.572,4041.796,5.302,105,1356.616,54.592,119.389,-331.992
Bangladesh,BGD,1987,104959.291,4013.41,5.075,105.3,1351.683,54.899,115.995,-367.475
Bangladesh,BGD,1988,107216.008,3960.972,4.849,105.3,1346.386,55.174,112.382,-395.408
Bangladesh,BGD,1989,109433.799,3963.797,4.695,105.1,1340.472,55.514,108.424,-406.91
Bangladesh,BGD,1990,111633.717,3922.874,4.506,105,1335.34,55.822,104.58,-404.105
Bangladesh,BGD,1991,113787.109,3827.174,4.261,104.9,1472.973,53.781,105.101,-230.852
Bangladesh,BGD,1992,115952.192,3757.349,4.027,104.6,1303.635,56.592,96.713,-246.914
Bangladesh,BGD,1993,118132.36,3709.996,3.832,104.5,1284.783,57.073,92.786,-271.677
Bangladesh,BGD,1994,120343.179,3740.761,3.737,104.2,1265.704,57.64,88.822,-206.958
