name,iso3c,region_sdg,region_geo,grp_income,grp_develop,pop,births,tfr,sex_ratio,deaths,e0,imr,net
Burundi,BDI,Sub-Saharan Africa,Africa,low,less-least,13689450,460882,4.878,102.5,91963,63.651,35.397,1995
Comoros,COM,Sub-Saharan Africa,Africa,lower-middle,less-least,850387,24366,3.878,103.2,6119,66.777,37.172,-2001.9999999999998
Djibouti,DJI,Sub-Saharan Africa,Africa,lower-middle,less-least,1152944,23946,2.609,103.7,8596,65.987,36.297,500
Eritrea,ERI,Sub-Saharan Africa,Africa,low,less-least,3470390,99058,3.713,103.2,20984,68.624,27.089,-15284
Ethiopia,ETH,Sub-Saharan Africa,Africa,low,less-least,128691692,4105685.0000000005,3.989,105.5,767018,67.315,32.962,-11996
Kenya,KEN,Sub-Saharan Africa,Africa,lower-middle,less,55339003,1499998,3.208,102.2,399024,63.646,29.652,-10003
Madagascar,MDG,Sub-Saharan Africa,Africa,low,less-least,31195932,1001244,3.972,103.8,234841,63.632,45.017,-1487
Malawi,MWI,Sub-Saharan Africa,Africa,low,less-least,21104482,662289,3.648,101.4,113181,67.353,29.546,-5811
Mauritius,MUS,Sub-Saharan Africa,Africa,upper-middle,less,1273588,11804,1.241,103.5,11124,74.926,12.898,-2824
Mayotte,MYT,Sub-Saharan Africa,Africa,upper,less,316015,11186,4.616,102.6,854,76.054,8.893,137
Mozambique,MOZ,Sub-Saharan Africa,Africa,low,less-least,33635160,1260855,4.763,102,235520,63.611,49.744,-36276
Réunion,REU,Sub-Saharan Africa,Africa,upper,less,874883,12003,2.174,103,4797,83.547,5.096,-3625
Rwanda,RWA,Sub-Saharan Africa,Africa,low,less-least,13954471,395578,3.698,102.6,82826,67.785,27.509,-9001
Seychelles,SYC,Sub-Saharan Africa,Africa,upper,less,127951,1744,2.133,103.6,1051,72.862,11.81,1809
Somalia,SOM,Sub-Saharan Africa,Africa,low,less-least,18358615,788763,6.132,104.4,180554,58.816,66.277,46217
South Sudan,SSD,Sub-Saharan Africa,Africa,low,less-least,11483374,328308,3.864,103.5,110339,57.617,63.815,455000
Uganda,UGA,Sub-Saharan Africa,Africa,low,less-least,48656601,1712750,4.283,102.9,235583,68.252,28.805,-126181
United Republic of Tanzania,TZA,Sub-Saharan Africa,Africa,lower-middle,less-least,66617606,2346391,4.606,103.1,385799,66.995,28.922,-39388
Zambia,ZMB,Sub-Saharan Africa,Africa,lower-middle,less-least,20723965,685565,4.101,101.1,107917,66.349,38.24,9521
Zimbabwe,ZWE,Sub-Saharan Africa,Africa,lower-middle,less,16340822,496917,3.724,102.5,124412,62.775,33.196,-97380
